Player,Nation,Team,Position,Age,Matches played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals,Expedted Assist Goals,Progressive Carries in Progression,Progressive Passes in Progression,Progressive Passes Received in Progression,Goals Scored per 90 minutes,Assists per 90 minutes,Expected Goals per 90 minutes,Expected Assists Goals per 90 minutes,Goals Against per 90 minutes,Save Percentage,Clean Sheets Percentage,Penalty Save Percentage,Percentage of shots that are on target,Shots on target per 90 minutes,Goals per shot,Average Shot Distance,Passes Completed,Pass Completion Percentage,Total Passing Distance,Passes Completion Percentage (Short),Passes Completion Percentage (Medium),Passes Completion Percentage (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes in Expected,Shot-Creating Actions,Shot-Creating Actions per 90 minutes,Goal-Creating Actions,Goal-Creating Actions per 90 minutes,Tackles,Tackles Won,Dribblers Tackled,Dribbles Challenged,Blocks,Shots Blocked,Passes Blocked,Interceptions,Touches,Touches(Defensive Penalty Area),Touches(Defensive Third),Touches(Mid Third),Touches(Attacking Third),Touches(Attacking Penalty Area),Take-Ons Attempted(Take-Ons),Percentage of Take-Ons Completed Successfully,Tackled During Take-Ons Percentage,Carries,Progressive Carrying Distance,Progressive Carries in Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received in Receiving,Fouls Committed,Fouls Drawn,Offsides,Crosses,Ball Recoveries,Aerials Won,Aerials Lost,Aerials Won Percentage,Transfer Fee
Aaron Ramsdale,ENG,Southampton,GK,26-353,26,26,"2,340",0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.31,67.5,7.7,28.6,N/a,0.0,N/a,N/a,691,64.4,19407,99.5,95.9,38.7,0,32,1,0,0,3,0.12,0,0.0,0,0,2,2,0,0,0,2,1154,835,1132,25,0,0,0,N/a,N/a,701,2092,0,0,0,2,0,628,0,1,4,0,0,19,5,0,100.0,€18.7M
Aaron Wan-Bissaka,ENG,West Ham,DF,27-157,32,31,"2,794",2,2,1,0,1.2,2.9,98,125,139,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.16,0.13,15.3,1277,81.1,18273,90.0,82.0,47.4,29,89,30,11,125,83,2.67,7,0.23,61,43,26,7,31,9,22,59,1960,136,620,838,531,40,101,53.5,34.7,933,3303,98,57,12,28,21,1135,139,22,24,4,64,155,22,29,43.1,€26.9M
Abdoulaye Doucouré,MLI,Everton,MF,32-121,30,29,"2,425",3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,€5.8M
Adam Smith,ENG,Bournemouth,DF,34-003,22,17,"1,409",0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,€1.5M
Adam Wharton,ENG,Crystal Palace,MF,20-334,19,15,"1,258",0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,€48.9M
Adama Traoré,ESP,Fulham,"FW,MF",29-097,32,16,"1,568",2,6,2,0,3.8,4.7,87,61,143,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,0.63,0.06,14.4,383,72.0,5972,81.2,73.4,55.3,37,32,32,17,61,73,4.19,9,0.52,17,12,13,8,7,0,7,1,725,4,74,258,415,86,88,50.0,37.5,483,2232,87,42,33,32,19,548,143,20,29,1,90,78,24,25,49.0,€8M
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-305,33,22,"2,056",5,1,2,0,7.0,3.6,134,54,274,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,1.23,0.06,17.1,600,79.1,8376,89.0,82.9,57.4,30,20,22,3,54,74,3.24,4,0.18,28,18,34,23,19,0,19,13,1078,13,120,340,636,164,85,30.6,60.0,783,3035,134,70,65,61,47,829,274,11,40,10,50,103,3,23,11.5,€60.7M
Alex Iwobi,NGA,Fulham,"FW,MF",28-364,34,32,"2,721",9,6,1,0,4.5,6.5,132,196,221,0.3,0.2,0.15,0.22,N/a,N/a,N/a,N/a,44.3,0.89,0.15,18.3,1037,74.4,17737,85.8,77.5,54.2,53,106,77,16,196,112,3.7,16,0.53,37,21,28,11,25,1,24,11,1693,31,225,678,815,107,86,48.8,45.3,1200,4024,132,99,37,54,38,1321,221,17,16,4,118,124,5,31,13.9,€30.3M
Alex Palmer,ENG,Ipswich Town,GK,28-265,10,10,900,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.50,60.0,0.0,0.0,N/a,0.0,N/a,N/a,207,65.5,6495,95.3,100.0,43.1,1,6,0,0,1,2,0.2,0,0.0,0,0,0,0,0,0,0,0,359,301,353,7,0,0,0,N/a,N/a,157,538,0,0,0,1,0,112,0,1,2,0,0,14,3,0,100.0,€1.6M
Alexander Isak,SWE,Newcastle Utd,FW,25-223,31,31,"2,487",22,6,1,0,19.0,4.0,77,77,196,0.8,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,1.34,0.22,14.5,459,74.0,6537,83.2,77.5,62.2,38,32,26,1,77,85,3.08,14,0.51,12,5,12,7,18,2,16,3,933,20,54,348,545,175,88,47.7,50.0,558,1723,77,40,43,62,50,659,196,25,13,20,15,54,25,48,34.2,€120.3M
