Player,Nation,Team,Position,Age,Transfer Fee
Aaron Ramsdale,ENG,Southampton,GK,26-353,€18.7M
Aaron Wan-Bissaka,ENG,West Ham,DF,27-157,€26.9M
Abdoulaye Doucouré,MLI,Everton,MF,32-121,€5.8M
Adam Armstrong,ENG,Southampton,"FW,MF",28-081,
Adam Smith,ENG,Bournemouth,DF,34-003,€1.5M
Adam Wharton,ENG,Crystal Palace,MF,20-334,€48.9M
Adama Traoré,ESP,Fulham,"FW,MF",29-097,€8M
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-305,€60.7M
Alex Iwobi,NGA,Fulham,"FW,MF",28-364,€30.3M
Alex Palmer,ENG,Ipswich Town,GK,28-265,€1.6M
Alexander Isak,SWE,Newcastle Utd,FW,25-223,€120.3M
Alexis Mac Allister,ARG,Liverpool,MF,26-129,€106.1M
Alisson,BRA,Liverpool,GK,32-212,€24.1M
Alphonse Areola,FRA,West Ham,GK,32-064,
Amad Diallo,CIV,Manchester Utd,"FW,MF",22-295,€48.5M
Amadou Onana,BEL,Aston Villa,MF,23-259,€62.1M
Andreas Pereira,BRA,Fulham,MF,29-121,€19M
Andrew Robertson,SCO,Liverpool,DF,31-052,€24M
André,BRA,Wolves,MF,23-290,€29.8M
André Onana,CMR,Manchester Utd,GK,29-030,€34.2M
Anthony Elanga,SWE,Nott'ham Forest,"FW,MF",23-005,€45.5M
Anthony Gordon,ENG,Newcastle Utd,FW,24-067,€49.5M
Antoine Semenyo,GHA,Bournemouth,FW,25-115,€47.7M
Antonee Robinson,USA,Fulham,DF,27-267,€46.4M
Archie Gray,ENG,Tottenham,"DF,MF",19-051,€58.2M
Arijanet Muric,KVX,Ipswich Town,GK,26-176,
Ashley Young,ENG,Everton,"DF,FW",39-297,€1.3M
Axel Tuanzebe,COD,Ipswich Town,DF,27-169,€4.2M
Bart Verbruggen,NED,Brighton,GK,22-257,€30.7M
Ben Davies,WAL,Tottenham,DF,32-008,€5.6M
Ben Johnson,ENG,Ipswich Town,"DF,FW",25-098,€12.6M
Bernardo Silva,POR,Manchester City,"MF,FW",30-265,€50M
Bernd Leno,GER,Fulham,GK,33-059,€13.7M
Beto,GNB,Everton,FW,27-091,€24.4M
Bilal El Khannouss,MAR,Leicester City,MF,20-357,€40.6M
Boubacar Kamara,FRA,Aston Villa,MF,25-160,€46.3M
Boubakary Soumaré,FRA,Leicester City,MF,26-064,
Brennan Johnson,WAL,Tottenham,FW,23-344,€71.3M
Bruno Fernandes,POR,Manchester Utd,MF,30-236,€54.8M
